language,repositories,medianPullRequestsMerged,medianReleases,medianDaysSinceLastUpdate,meanPullRequestsMerged,meanReleases,meanDaysSinceLastUpdate
Python,201,620,23,0,3989.2836,91.5622,0.0149
TypeScript,160,2524.0,157.5,0.0,4992.4875,252.5813,0.0187
JavaScript,113,605,36,0,2261.646,109.7965,0.0265
Unknown,95,129,0,0,1336.2842,2.7368,0.0211
Go,77,1690,132,0,6195.4935,181.2727,0.0
Rust,55,2343,74,0,5390.9273,144.0727,0.0
C++,46,983.0,60.0,0.0,7948.3261,161.0217,0.0
Java,46,614.0,42.0,0.0,4071.8696,72.2391,0.0217
C,25,145,39,0,1469.44,70.24,0.0
Jupyter Notebook,23,88,0,0,211.8261,0.0435,0.0
Shell,22,466.5,17.5,0.0,876.8182,64.5,0.0
HTML,18,310.0,0.0,0.0,686.6667,22.2778,0.0
Ruby,12,4771.5,14.5,0.0,9811.5,138.5,0.0
C#,11,5185,120,0,4681.0,132.0909,0.0
Kotlin,10,399.5,53.5,0.0,929.8,97.9,0.0
CSS,8,440.0,13.0,0.0,508.875,20.5,0.0
PHP,7,5811,603,0,11881.7143,491.7143,0.0
Swift,7,433,47,0,683.2857,94.0,0.0
Vue,7,311,43,0,894.2857,48.5714,0.0
Dart,6,575.0,33.5,0.0,8722.1667,50.6667,0.0
MDX,5,349,0,0,2059.8,18.8,0.0
Markdown,5,370,6,0,4079.8,10.4,0.0
